width,height,megapixels,exposure_L,contrast_L,clip_high_pct,clip_low_pct,cast,cast_a,cast_b,colorfulness,tilt_deg,tilt_signed_deg,n_vertical_lines,keystone,sharpness,noise_sigma,graphic_score,file,defects,listing_id,photo_id,badness,wm_score
1680,945,1.5876,68.79660034179688,21.183757781982425,3.316073947482639,0.2290513780381944,8.772761505736437,0.0878430977463722,8.772321701049805,9.47059440612793,3.10052490234375,3.10052490234375,68,-33.05900059472742,476.09353598344063,0.5989807122030543,0.0794898139105902,108444457_1461704633.jpg,"dominante,storta",108444457,1461704633,2.760206977996609,0.09433524310588837
1680,945,1.5876,68.38347625732422,19.187576293945312,1.6801622178819444,0.4876030815972222,9.663335174770284,-0.6927168965339661,9.638474464416504,13.58299160003662,2.698638916015625,2.698638916015625,56,-20.242010773749747,296.73371669815646,0.3458216754298273,0.0215861002604166,108444457_1461705495.jpg,"dominante,storta",108444457,1461705495,2.7149264043696544,0.25035393238067627
1680,945,1.5876,69.6254653930664,20.88902473449707,0.0227186414930555,0.7802327473958333,7.271753884927577,-3.1810460090637207,6.539063453674316,15.949334144592283,0.4250869750976562,0.4250869750976562,42,-14.72861789294119,222.471780257357,0.3458216754298366,0.008665296766493,108444457_1461705835.jpg,dominante,108444457,1461705835,0.8179384712318942,0.2660543918609619
1680,945,1.5876,71.09718322753906,19.91564178466797,0.1007080078125,0.0978257921006944,8.637620796095625,-0.7744953036308289,8.602828025817871,18.131181716918945,4.5113525390625,-4.5113525390625,56,-18.761562933389,235.5662874339241,0.2349830357063435,0.0248769124348958,108444457_1461706205.jpg,"dominante,storta",108444457,1461706205,3.6669735583989063,0.17412282526493073
1680,945,1.5876,67.72832489013672,21.48329162597656,1.3941446940104163,0.4216512044270833,8.640355021540413,-0.1086935251951217,8.639671325683594,10.658061981201172,0.439117431640625,0.439117431640625,82,-14.34180236274995,219.7420077042447,0.3954794338229744,0.0171949598524305,108444457_1461706487.jpg,dominante,108444457,1461706487,1.1600887553851034,0.20598429441452026
1680,945,1.5876,71.09718322753906,19.91564178466797,0.1007080078125,0.0978257921006944,8.637620796095625,-0.7744953036308289,8.602828025817871,18.131181716918945,4.5113525390625,-4.5113525390625,56,-18.761562933389,235.5662874339241,0.2349830357063435,0.0248769124348958,108444457_1461707439.jpg,"dominante,storta",108444457,1461707439,3.6669735583989063,0.17412282526493073
1680,945,1.5876,60.93370056152344,22.660783767700195,4.505750868055555,0.6461249457465278,5.270170891934792,0.1472760587930679,5.268112659454346,13.638235092163086,0.7098388671875,0.7098388671875,176,-22.028079731652255,893.0614980034227,1.3784164569118116,0.0572052001953125,108444457_1461708137.jpg,dominante,108444457,1461708137,0.317542722983698,0.18639403581619263
1680,945,1.5876,67.95597839355469,21.23993873596191,1.7452663845486112,0.636630588107639,3.68818008042113,-2.2177510261535645,-2.9469056129455566,13.57347297668457,1.40997314453125,1.40997314453125,194,1.527182791142741,787.893942810983,0.8339637479094051,0.0442267523871527,108444457_1461708199.jpg,storta,108444457,1461708199,0.4399820963541667,0.19756881892681122
1680,945,1.5876,66.33644104003906,23.593523025512695,0.4998101128472222,0.6913926866319444,4.036333899273848,-0.3865653574466705,4.017780303955078,14.774333953857422,1.3060226440429688,-1.3060226440429688,122,-18.48038681901142,550.6991543156198,1.0192890252225746,0.033659193250868,108444457_1461708283.jpg,"dominante,storta",108444457,1461708283,0.3797652375137745,0.20220611989498138
940,788,0.74072,57.42952346801758,24.274917602539062,1.8745902534965035,0.800485321969697,1.114067751098177,0.311368465423584,1.0696712732315063,20.41484260559082,2.3916778564453125,2.3916778564453125,23,32.12762642349535,326.3515213323306,0.6171567132699076,0.0171774839743589,108444457_1481407811.jpg,"storta,bassa_risoluzione",108444457,1481407811,1.094451904296875,0.05835600197315216
