width,height,megapixels,exposure_L,contrast_L,clip_high_pct,clip_low_pct,cast,cast_a,cast_b,colorfulness,tilt_deg,tilt_signed_deg,n_vertical_lines,keystone,sharpness,noise_sigma,graphic_score,file,defects,listing_id,photo_id,badness
1400,1050,1.47,50.05044174194336,24.763032913208008,0.1023610432942708,2.313486735026042,10.359990164099028,3.85241961479187,9.61708164215088,19.638051986694336,9.498443603515623,9.498443603515623,23,2.4351810341862636,618.459374924753,0.5311469527430259,0.0092671712239583,121195810_1725986310.jpg,"buia,dominante,storta",121195810,1725986310,7.617249102507504
1400,1050,1.47,41.36973190307617,21.09905242919922,0.5265553792317708,7.668813069661458,7.323233845341816,-0.4204139709472656,7.311156272888184,10.257634162902832,8.233596801757812,8.233596801757812,36,-24.73440023053864,87.78999561030002,0.450007437023625,0.0071945190429687,132002660_1994599696.jpg,"buia,dominante,storta,sfocata",132002660,1994599696,7.419733212028044
590,1050,0.6195,58.63029861450195,15.687423706054688,0.1879159234357848,0.0002679919045005,3.9712660491848175,1.3723500967025757,3.726608276367187,5.221427917480469,9.767684936523438,9.767684936523438,5,-13.146849064581804,45.883092368502055,0.3888265556932936,0.002955414722832,118733913_1962609228.jpg,"storta,sfocata,bassa_risoluzione",118733913,1962609228,7.247071751540592
1400,1050,1.47,42.75613021850586,26.66313743591309,0.0019073486328125,5.190277099609375,1.075131314898442,-0.3388194441795349,1.0203473567962646,18.053544998168945,9.214332580566406,-9.214332580566406,31,-24.68270760486253,1128.6103054613857,1.0556410273563637,0.000104268391927,131152856_1974234772.jpg,"buia,storta",131152856,1974234772,6.567275365193685
590,1050,0.6195,58.46852111816406,21.395872116088867,0.1911854246706915,0.4086340559824369,2.4820816124653415,1.2946902513504028,2.1176652908325195,4.828376770019531,9.067718505859377,-9.067718505859377,8,10.72517963168447,70.89940729808998,0.4136554348898585,0.0068857839942371,118733913_1962609234.jpg,"storta,sfocata,bassa_risoluzione",118733913,1962609234,6.363488882271417
640,853,0.54592,40.468955993652344,23.16716957092285,0.0422819368131868,2.23879635989011,9.993724738972992,4.215047836303711,9.061341285705566,25.461515426635746,5.953887939453125,5.953887939453125,40,-25.28777157297673,111.03936641576824,0.2598119149029203,0.0008485004578754,93493772_1140594556.jpg,"buia,dominante,storta,sfocata,bassa_risoluzione",93493772,1140594556,6.270138104750627
1154,865,0.99821,55.9093132019043,32.542991638183594,6.4370473225911455,4.820124308268229,3.4387749455837446,-0.0375628247857093,3.4385697841644287,9.4647798538208,9.9111328125,-9.9111328125,13,78.63186293162484,1156.601127790247,1.076904639908535,0.0439402262369791,121258006_1728231296.jpg,"sovraesposta,storta,bassa_risoluzione",121258006,1728231296,6.151126607259115
788,1050,0.8274,50.96645736694336,18.5811824798584,0.0194739736070381,0.4188336235337243,9.409584989559583,4.478377342224121,8.275531768798828,15.153422355651855,7.2513427734375,-7.2513427734375,34,-23.901505878448436,114.16997051917068,0.413655434889853,0.001619490010997,129563902_1936264672.jpg,"buia,dominante,storta,sfocata,bassa_risoluzione",129563902,1936264672,5.887146184334383
1154,865,0.99821,65.38411712646484,26.836355209350582,9.888076782226562,0.6884256998697917,5.5819613058781705,0.0568116679787635,5.581672191619873,14.51270580291748,8.135665893554688,8.135665893554688,12,-28.93951184159656,1323.2413602302097,2.6659529084891935,0.0740013122558593,121258006_1728231304.jpg,"sovraesposta,dominante,storta,rumorosa,bassa_risoluzione",121258006,1728231304,5.81871053938812
1400,1050,1.47,63.37581253051758,15.732454299926758,1.5810648600260415,0.2398173014322916,7.892250098599039,-3.8243041038513184,6.903789520263672,23.48789978027344,7.997650146484375,7.997650146484375,64,-34.85451738614212,323.6313791505899,0.5989807122030468,0.0177383422851562,131502424_1982657374.jpg,"dominante,storta",131502424,1982657374,5.804829288972677
